,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
4,SOX17,0.01,15.38948,-1.0,-1.0,0.01
8,PRSS2,0.01,14.721949,-1.0,-1.0,0.01
14,PLSCR2,0.01,10.987924,-1.0,-1.0,0.01
20,DKK4,0.01,16.331913,-1.0,-1.0,0.01
27,DKK1,0.01,10.836272,-1.0,-1.0,0.01
32,ARHGAP24,0.01,5.805175,-1.0,-1.0,0.01
38,SP5,0.01,11.159617,-1.0,-1.0,0.01
42,SAMD3,0.01,8.807831,-1.0,-1.0,0.01
44,TUBB6,0.01,-5.016234,-1.0,-1.0,0.01
47,MOBP,0.01,9.62337,-1.0,-1.0,0.01
48,CER1,0.01,10.41902,-1.0,-1.0,0.01
54,NEAT1,0.01,3.6300406,-1.0,-1.0,0.01
56,ACOX3,0.01,4.534603,-1.0,-1.0,0.01
71,EOMES,0.01,6.085727,-1.0,-1.0,0.01
78,MGST2,0.01,3.8571837,-1.0,-1.0,0.01
83,FAM159B,0.01,2.7317305,-1.0,-1.0,0.01
89,LINC00261,0.01,8.137525,-1.0,-1.0,0.01
95,SCGB3A2,0.01,-3.413802,-1.0,-1.0,0.01
96,LINC00678,0.01,-4.1713614,-1.0,-1.0,0.01
100,FGF17,0.01,9.809582,-1.0,-1.0,0.01
101,DDIT4,0.01,5.2445207,-1.0,-1.0,0.01
104,CYP26A1,0.01,6.5620327,-1.0,-1.0,0.01
114,LINC00458,0.01,6.041527,-1.0,-1.0,0.01
118,LINC01356,0.01,7.2403436,-1.0,-1.0,0.01
120,FAM184A,0.01,5.322439,-1.0,-1.0,0.01
124,P4HA1,0.01,3.5468278,-1.0,-1.0,0.01
125,CXCR4,0.01,7.715753,-1.0,-1.0,0.01
126,PGK1,0.01,2.8632245,-1.0,-1.0,0.01
127,GPC4,0.01,3.1468878,-1.0,-1.0,0.01
131,HN1,0.01,-3.5876133,-1.0,-1.0,0.01
134,RARRES2,0.01,-3.0376658,-1.0,-1.0,0.01
137,RAB3B,0.01,2.314731,-1.0,-1.0,0.01
143,GAD1,0.01,7.22657,-1.0,-1.0,0.01
145,FOXA2,0.01,4.947323,-1.0,-1.0,0.01
148,UTF1,0.01,-9.5155325,-1.0,-1.0,0.01
156,DPYSL3,0.01,-3.5302274,-1.0,-1.0,0.01
160,LHX1,0.01,8.375243,-1.0,-1.0,0.01
161,SLC16A3,0.01,7.21903,-1.0,-1.0,0.01
162,GATA6-AS1,0.01,11.136167,-1.0,-1.0,0.01
165,CAV1,0.01,-3.0810056,-1.0,-1.0,0.01
167,BID,0.01,-4.6318593,-1.0,-1.0,0.01
172,SPP1,0.01,-8.100926,-1.0,-1.0,0.01
178,GPATCH4,0.01,-5.0240912,-1.0,-1.0,0.01
188,SERPINE2,0.01,3.220308,-1.0,-1.0,0.01
196,CLSPN,0.01,-5.8006454,-1.0,-1.0,0.01
200,SFRP2,0.01,-2.2284415,-1.0,-1.0,0.01
204,RP11-132A1.3,0.01,-9.093521,-1.0,-1.0,0.01
215,RP11-568A7.4,0.01,-4.514982,-1.0,-1.0,0.01
217,TRDN,0.01,5.3466334,-1.0,-1.0,0.01
223,CD24,0.01,-3.3358657,-1.0,-1.0,0.01
225,SAT1,0.01,3.386175,-1.0,-1.0,0.01
228,AC007405.6,0.01,3.221186,-1.0,-1.0,0.01
230,CCKBR,0.01,4.087191,-1.0,-1.0,0.01
242,RP11-1144P22.1,0.01,-3.0403225,-1.0,-1.0,0.01
249,NANOG,0.01,-4.442609,-1.0,-1.0,0.01
257,OTX2,0.01,2.6512067,-1.0,-1.0,0.01
258,SEPHS1,0.01,-2.6642454,-1.0,-1.0,0.01
260,COL6A2,0.01,3.3577054,-1.0,-1.0,0.01
261,FOXD3-AS1,0.01,-6.4706573,-1.0,-1.0,0.01
267,THY1,0.01,-5.2820687,-1.0,-1.0,0.01
268,ENO2,0.01,2.7309523,-1.0,-1.0,0.01
270,ARHGAP29,0.01,3.4689875,-1.0,-1.0,0.01
273,CLU,0.01,-4.7717094,-1.0,-1.0,0.01
274,DUSP4,0.01,4.199708,-1.0,-1.0,0.01
280,P3H2,0.01,6.464511,-1.0,-1.0,0.01
281,TGIF1,0.01,2.3131628,-1.0,-1.0,0.01
284,CYB5A,0.01,-2.9836626,-1.0,-1.0,0.01
285,PDPN,0.01,-2.7840743,-1.0,-1.0,0.01
286,SLC2A1,0.01,3.0578053,-1.0,-1.0,0.01
287,SERPINB9,0.01,3.28987,-1.0,-1.0,0.01
291,LECT1,0.01,-5.6002464,-1.0,-1.0,0.01
292,CHCHD10,0.01,-3.0462012,-1.0,-1.0,0.01
293,UCHL1,0.01,-4.7855797,-1.0,-1.0,0.01
312,FGFBP3,0.01,-5.247458,-1.0,-1.0,0.01
317,CCND1,0.01,-3.2097933,-1.0,-1.0,0.01
323,CALD1,0.01,-3.7175796,-1.0,-1.0,0.01
324,TJP1,0.01,-2.2502258,-1.0,-1.0,0.01
327,EIF4EBP1,0.01,-3.0532153,-1.0,-1.0,0.01
328,CADM1,0.01,3.538523,-1.0,-1.0,0.01
331,APLNR,0.01,9.118004,-1.0,-1.0,0.01
332,PKM,0.01,3.139973,-1.0,-1.0,0.01
333,PLOD2,0.01,3.321532,-1.0,-1.0,0.01
338,RP11-20D14.6,0.01,-2.2267888,-1.0,-1.0,0.01
341,LY6E,0.01,2.054071,-1.0,-1.0,0.01
345,MLLT11,0.01,-3.6505086,-1.0,-1.0,0.01
347,L1TD1,0.01,-2.599041,-1.0,-1.0,0.01
351,POU5F1,0.01,-1.6540654,-1.0,-1.0,0.01
356,DNMT3B,0.01,-3.491071,-1.0,-1.0,0.01
357,RND2,0.01,-2.8666441,-1.0,-1.0,0.01
360,KRT19,0.01,3.8374581,-1.0,-1.0,0.01
362,BNIP3,0.01,4.3283257,-1.0,-1.0,0.01
364,FN1,0.01,5.499697,-1.0,-1.0,0.01
372,DPPA4,0.01,-2.7469704,-1.0,-1.0,0.01
374,SOX2,0.01,-5.0376472,-1.0,-1.0,0.01
376,WDR54,0.01,2.7471697,-1.0,-1.0,0.01
384,MEST,0.01,-2.304513,-1.0,-1.0,0.01
388,NNAT,0.01,-4.146256,-1.0,-1.0,0.01
396,PPP1R14B,0.01,-3.2352753,-1.0,-1.0,0.01
399,PGM1,0.01,3.376082,-1.0,-1.0,0.01
400,H2AFJ,0.01,-2.6592865,-1.0,-1.0,0.01
402,CASP3,0.01,-2.4223797,-1.0,-1.0,0.01
404,CD99,0.01,1.564455,-1.0,-1.0,0.01
412,CDH2,0.01,4.4120045,-1.0,-1.0,0.01
414,CNTNAP2,0.01,2.76269,-1.0,-1.0,0.01
415,RPP25,0.01,-2.6648724,-1.0,-1.0,0.01
417,CYCS,0.01,-3.5551105,-1.0,-1.0,0.01
419,C4orf3,0.01,2.264287,-1.0,-1.0,0.01
420,FAM89A,0.01,5.559109,-1.0,-1.0,0.01
421,MT1X,0.01,-5.7621756,-1.0,-1.0,0.01
422,COL6A1,0.01,2.7987142,-1.0,-1.0,0.01
423,DNAJB6,0.01,-2.467634,-1.0,-1.0,0.01
425,MT2A,0.01,-5.3184066,-1.0,-1.0,0.01
431,SRSF2,0.01,-2.966333,-1.0,-1.0,0.01
434,AKAP12,0.01,-3.2221081,-1.0,-1.0,0.01
437,ATP5G1,0.01,-3.317848,-1.0,-1.0,0.01
438,GSTO1,0.01,2.0859282,-1.0,-1.0,0.01
441,SLC2A3,0.01,2.207443,-1.0,-1.0,0.01
442,TPM1,0.01,-1.9353235,-1.0,-1.0,0.01
445,NOP16,0.01,-3.8872082,-1.0,-1.0,0.01
447,PCNA,0.01,-3.1677754,-1.0,-1.0,0.01
453,CCDC85B,0.01,-2.596294,-1.0,-1.0,0.01
454,SRM,0.01,-4.024926,-1.0,-1.0,0.01
459,DNAJA1,0.01,-2.572944,-1.0,-1.0,0.01
462,PTGR1,0.01,2.6645863,-1.0,-1.0,0.01
465,HES6,0.01,-2.9952846,-1.0,-1.0,0.01
467,HMGB3,0.01,-2.2228165,-1.0,-1.0,0.01
469,SLIRP,0.01,-2.6492288,-1.0,-1.0,0.01
473,RHOBTB3,0.01,3.116654,-1.0,-1.0,0.01
475,SLC39A8,0.01,2.6716936,-1.0,-1.0,0.01
477,RBPMS2,0.01,-2.2993956,-1.0,-1.0,0.01
478,H2AFZ,0.01,-2.947124,-1.0,-1.0,0.01
480,RRS1,0.01,-4.298555,-1.0,-1.0,0.01
486,POLR3G,0.01,-6.1259255,-1.0,-1.0,0.01
488,NME1,0.01,-3.311619,-1.0,-1.0,0.01
500,LYAR,0.01,-3.3589327,-1.0,-1.0,0.01
516,TERF1,0.01,-4.1199203,-1.0,-1.0,0.01
518,VIM,0.01,2.8822067,-1.0,-1.0,0.01
531,ACAT2,0.01,-2.8614993,-1.0,-1.0,0.01
534,CSRP2,0.01,-1.6031773,-1.0,-1.0,0.01
548,H2AFX,0.01,-3.4696355,-1.0,-1.0,0.01
549,ARL4D,0.01,3.0779696,-1.0,-1.0,0.01
550,PLA2G16,0.01,-1.7538482,-1.0,-1.0,0.01
555,SLC25A4,0.01,-2.1518672,-1.0,-1.0,0.01
559,DUT,0.01,-2.0865908,-1.0,-1.0,0.01
562,CITED2,0.01,1.7885286,-1.0,-1.0,0.01
566,TNNT1,0.01,1.9512174,-1.0,-1.0,0.01
575,GINS2,0.01,-4.2033257,-1.0,-1.0,0.01
585,IER2,0.01,-1.5093772,-1.0,-1.0,0.01
586,IDI1,0.01,-3.4988792,-1.0,-1.0,0.01
609,TIMP1,0.01,1.4169638,-1.0,-1.0,0.01
614,MYBL2,0.01,-3.961157,-1.0,-1.0,0.01
642,TCEAL9,0.01,1.319388,-1.0,-1.0,0.01
657,TNFRSF12A,0.01,-1.480799,-1.0,-1.0,0.01
658,HSP90AA1,0.01,-1.6989709,-1.0,-1.0,0.01
660,PMAIP1,0.01,-1.9507395,-1.0,-1.0,0.01
661,PHLDA1,0.01,2.5586054,-1.0,-1.0,0.01
668,SQLE,0.01,-2.8421068,-1.0,-1.0,0.01
675,FAM64A,0.01,-5.23108,-1.0,-1.0,0.01
678,NCOA4,0.01,2.6203873,-1.0,-1.0,0.01
682,FAM162A,0.01,1.6377496,-1.0,-1.0,0.01
689,CBR1,0.01,-1.9493157,-1.0,-1.0,0.01
697,FEN1,0.01,-2.8345273,-1.0,-1.0,0.01
700,MPC2,0.01,-1.1157522,-1.0,-1.0,0.01
709,SOCS2,0.01,-1.3233194,-1.0,-1.0,0.01
716,MGST3,0.01,-0.99451995,-1.0,-1.0,0.01
726,CST3,0.01,1.5404245,-1.0,-1.0,0.01
727,C8orf76,0.01,2.2428114,-1.0,-1.0,0.01
734,NODAL,0.01,-4.0306525,-1.0,-1.0,0.01
736,CENPW,0.01,-2.6594856,-1.0,-1.0,0.01
738,CKB,0.01,-1.1356628,-1.0,-1.0,0.01
769,TK1,0.01,-3.8818624,-1.0,-1.0,0.01
778,TSC22D1,0.01,1.0592276,-1.0,-1.0,0.01
781,KRT8,0.01,1.7964076,-1.0,-1.0,0.01
793,PIF1,0.01,-4.477855,-1.0,-1.0,0.01
797,CCNB1,0.01,-3.136484,-1.0,-1.0,0.01
799,BEX1,0.01,-1.7117529,-1.0,-1.0,0.01
803,CENPF,0.01,-4.181003,-1.0,-1.0,0.01
806,KPNA2,0.01,-2.410373,-1.0,-1.0,0.01
814,CD200,0.01,1.5124391,-1.0,-1.0,0.01
831,UBE2C,0.01,-2.4353745,-1.0,-1.0,0.01
843,TUBA1A,0.01,-1.4938966,-1.0,-1.0,0.01
845,CDKN3,0.01,-3.0998611,-1.0,-1.0,0.01
848,TUBB2B,0.01,1.1159853,-1.0,-1.0,0.01
855,CLDN7,0.01,-1.0508007,-1.0,-1.0,0.01
858,CKS2,0.01,-2.7081327,-1.0,-1.0,0.01
871,TMEM123,0.01,1.468724,-1.0,-1.0,0.01
904,PRKCDBP,0.01,-1.5019453,-1.0,-1.0,0.01
