,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0,APLNR,0.01,12.407943,-1.0,-1.0,0.01
2,SNAI1,0.01,4.6840034,-1.0,-1.0,0.01
9,RSPO3,0.01,11.466062,-1.0,-1.0,0.01
14,T,0.01,8.542052,-1.0,-1.0,0.01
16,MIXL1,0.01,4.7100067,-1.0,-1.0,0.01
25,TBX6,0.01,7.9974236,-1.0,-1.0,0.01
38,CYP26A1,0.01,5.0740576,-1.0,-1.0,0.01
40,DKK1,0.01,9.904269,-1.0,-1.0,0.01
53,MSX1,0.01,9.834982,-1.0,-1.0,0.01
54,PLXNA2,0.01,7.249442,-1.0,-1.0,0.01
56,SPP1,0.01,-7.4201455,-1.0,-1.0,0.01
57,CITED2,0.01,3.040336,-1.0,-1.0,0.01
59,MESP2,0.01,8.764068,-1.0,-1.0,0.01
60,IRX3,0.01,9.587174,-1.0,-1.0,0.01
61,LINC01356,0.01,5.67847,-1.0,-1.0,0.01
71,LHX1,0.01,9.727697,-1.0,-1.0,0.01
72,PLSCR2,0.01,8.834169,-1.0,-1.0,0.01
83,EOMES,0.01,6.345244,-1.0,-1.0,0.01
85,MESP1,0.01,8.500391,-1.0,-1.0,0.01
88,LINC00678,0.01,-4.6178403,-1.0,-1.0,0.01
89,NANOG,0.01,-6.473377,-1.0,-1.0,0.01
91,DKK4,0.01,13.501701,-1.0,-1.0,0.01
94,RP11-568A7.4,0.01,-4.512273,-1.0,-1.0,0.01
103,FGF17,0.01,10.076084,-1.0,-1.0,0.01
104,ZIC3,0.01,2.9969897,-1.0,-1.0,0.01
106,SCGB3A2,0.01,-3.512959,-1.0,-1.0,0.01
110,SAMD3,0.01,8.117294,-1.0,-1.0,0.01
119,LECT1,0.01,-5.367465,-1.0,-1.0,0.01
122,SP5,0.01,10.654096,-1.0,-1.0,0.01
133,FOXD3-AS1,0.01,-5.9380074,-1.0,-1.0,0.01
134,LOX,0.01,10.097615,-1.0,-1.0,0.01
135,SEPHS1,0.01,-1.9082526,-1.0,-1.0,0.01
138,TRDN,0.01,3.7766194,-1.0,-1.0,0.01
141,DNMT3B,0.01,-2.6163228,-1.0,-1.0,0.01
143,LINC00458,0.01,5.2436295,-1.0,-1.0,0.01
144,DDIT4,0.01,4.965085,-1.0,-1.0,0.01
146,UCHL1,0.01,-4.4086156,-1.0,-1.0,0.01
151,UTF1,0.01,-9.220536,-1.0,-1.0,0.01
155,COL6A1,0.01,3.1192708,-1.0,-1.0,0.01
163,P3H2,0.01,6.0281377,-1.0,-1.0,0.01
169,HAS2,0.01,4.505165,-1.0,-1.0,0.01
170,CD24,0.01,-3.2421772,-1.0,-1.0,0.01
173,FGFBP3,0.01,-3.5788925,-1.0,-1.0,0.01
178,CLU,0.01,-3.8414066,-1.0,-1.0,0.01
182,SOX2,0.01,-8.569312,-1.0,-1.0,0.01
189,SERPINE2,0.01,3.8650663,-1.0,-1.0,0.01
191,SLC16A3,0.01,6.988036,-1.0,-1.0,0.01
194,GATA6-AS1,0.01,10.899264,-1.0,-1.0,0.01
197,GATA6,0.01,11.07784,-1.0,-1.0,0.01
199,DPYSL3,0.01,-4.0357285,-1.0,-1.0,0.01
200,LZTS1,0.01,4.4742823,-1.0,-1.0,0.01
204,CDH2,0.01,3.678927,-1.0,-1.0,0.01
211,GAD1,0.01,6.694649,-1.0,-1.0,0.01
215,FAM89A,0.01,6.022573,-1.0,-1.0,0.01
220,CNTFR,0.01,3.1175451,-1.0,-1.0,0.01
221,THY1,0.01,-3.6256475,-1.0,-1.0,0.01
222,RARRES2,0.01,-2.559775,-1.0,-1.0,0.01
