,TF,target,importance
0,Elk3,Rpl26,0.5003397655422958
1,Stat1,Rpl26,0.3450946815395754
2,Nr2c2,Spast,0.776770970598813
3,Mafg,Slpi,1.4796276625802645
4,Zmiz1,Pdk3,0.38149492396615975
5,Atf3,Rpl32,0.08804481753293349
6,Jun,Rpl32,0.009248027073092538
7,Onecut2,Rpl32,1.1596716344367268
8,Yy1,Rpl32,0.11956463075873748
9,Thap1,Rpl32,0.23016041897269057
10,Tfdp2,Rpl32,0.40469111746729125
11,Cebpb,Rpl32,0.5618311087170833
12,Elk3,Rpl32,0.48710791292517697
13,Ehf,Rpl32,3.8123482989335233
14,Zmiz1,Rpl32,0.4474543941309113
15,Elf2,Rps27,0.17465069444849432
16,Jun,Rps27,-0.03611854037206822
17,Tead4,Rps27,-0.27228723053166104
18,Tfdp2,Rps27,0.186798406077862
19,Cebpb,Rps27,0.8116841532505056
20,Elk3,Rps27,0.2013298555163666
21,Jund,Rps27,0.3005663463198879
22,Gmeb1,Rps27,-0.06839358067603818
23,Myc,Rpl13,0.20633007895868716
24,Zfp523,Rpl13,1.586009348936708
25,E2f3,Rpl13,0.6499705807165219
26,Zmiz1,Rpl13,0.22724425453782035
27,Elf2,Mtf1,0.08852384167058651
28,Ctcf,Mtf1,0.12052386901218665
29,Rarg,Mtf1,0.24747481139769034
30,Zmiz1,Mtf1,0.38609620325847926
31,Erf,Erh,0.8755412792981366
32,Zfp740,Hmcn1,0.9147297732061851
33,Ets2,Map1lc3b,0.5162381355377238
34,Zmiz1,Map1lc3b,0.33278390044340467
35,Fos,Dtd1,0.04650234697458577
36,Ets2,Dtd1,0.5934585991756683
37,Erf,Klf11,0.7415949846929983
38,AU041133,Klf11,0.31702342078233575
39,E2f6,Klf11,0.14471163895185868
40,Bach1,Klf11,0.7524669964411669
41,Elf2,Atp13a3,0.4061688333984571
42,Atf1,Atp13a3,0.2877423535067682
43,Fos,Atp13a3,0.038106885728266114
44,Ctcf,Dab2ip,0.46420976786755624
45,Osr1,Dab2ip,0.3202934919752789
46,Cebpz,Cdv3,0.3166675930613046
47,Jund,Cdv3,0.04447713266229122
48,Bach1,Cdv3,0.34080386715330574
49,Zmiz1,Cdv3,0.2896136224248485
50,Stat1,Cdv3,0.3565761591839746
51,Hoxc8,S1pr3,0.16262574768596044
52,Alx3,S1pr3,0.9862354661194442
53,Jun,Gm10767,0.4155304905044379
54,Srebf1,Gm10767,0.03486502397439812
55,E2f6,Gm10767,0.2881903653824565
56,Fosb,Gtpbp10,0.1208208747537142
57,Ctcf,Gtpbp10,0.40540186011987533
58,Fosb,Agtr2,0.5518573127273902
59,Elk4,Rpgr,0.6819772486215802
60,Erf,Rpgr,0.38020577012640655
61,Elf1,Rpgr,0.5625941053038491
62,Zmiz1,Rpgr,0.206451747200182
63,Irf7,Nedd4,2.0164804468692368
64,Fosb,Fbn2,0.14488478087533208
65,D3Ertd254e,Fbn2,0.48884169897082147
66,Atf4,Fbn2,0.10697459485283867
67,Srebf2,Fbn2,0.5760889210500825
68,Tead1,Fbn2,0.2959868773239569
69,Stat1,Lrrn4,1.992237268901398
70,Elk4,Cd248,0.31500867746345024
71,Klf3,Cd248,0.23850393069458656
72,E2f4,Cd248,0.48132967875689914
73,Sp4,Cd248,0.32944235814568545
